"","Time","Month","Year","predicted_RECO","Daily_NEE","Daily_RECO_temp","Daily_RECO_flux","Daily_resi_temp","Daily_EF","Daily_TA","Total_Randunc","Mean_HH_P_ERA"
"781","2006-05-30",5,2006,NA,0.175269116666667,0.239979454249808,0.32279,-0.0647103375831417,0.0793355329771751,16.4616666666667,NA,NA
"782","2006-05-31",5,2006,NA,0.132508429090909,0.247062553000262,0.394802454545455,-0.114554123909353,0.0521738517663845,18.5063636363636,NA,NA
"783","2006-06-01",6,2006,NA,0.195879044,0.580678119539759,0.566792933333333,-0.384799075539759,0.0809665297735559,22.7173333333333,NA,NA
"784","2006-06-02",6,2006,1.01874086678753,1.08402392857143,0.641603511451591,0.784632428571429,0.442420417119838,0.145851062753567,27.1742857142857,0.129677077786279,0.0174166666666667
"785","2006-06-03",6,2006,1.09443044683445,1.21080955555556,0.776287023142246,0.955181888888889,0.43452253241331,0.271497151154148,27.6766666666667,0.193812531643689,0
"786","2006-06-04",6,2006,NA,0.556039,1.38854880113256,1.24298,-0.832509801132558,0.192093179210205,30.45,NA,NA
"787","2006-06-05",6,2006,NA,1.5682525,1.19477414120292,1.070185,0.37347835879708,0.129390862351778,26.845,NA,NA
"788","2006-06-06",6,2006,NA,0.707278178333333,1.05941653931374,1.01395066666667,-0.352138360980402,0.256149325217084,25.7766666666667,NA,NA
"789","2006-06-07",6,2006,2.23844711493577,2.25329192307692,0.843110887855955,0.914782846153846,1.41018103522097,0.273985730574486,24.3992307692308,0.190708757713471,0.0838333333333333
"790","2006-06-08",6,2006,NA,0.820991888888889,0.905995376837803,1.00137822222222,-0.085003487948914,0.155629854242647,27.2677777777778,NA,NA
"791","2006-06-09",6,2006,NA,0.310854666666667,0.6715874503019,0.928840666666667,-0.360732783635234,0.134798917394081,27.3266666666667,NA,NA
"792","2006-06-10",6,2006,NA,0.165678025,0.285359052503391,0.69880375,-0.119681027503391,0.1129689046439,25.1575,NA,NA
"793","2006-06-11",6,2006,NA,0.167422171428571,0.1593948130605,0.537463285714286,0.00802735836807114,0.0974473959001507,21.8657142857143,NA,NA
"794","2006-06-12",6,2006,NA,0.07898248,0.159100246128962,0.4317034,-0.080117766128962,0.0842866227141107,21.72,NA,NA
"795","2006-06-13",6,2006,NA,0.238206825,0.203726958928303,0.335895375,0.0344798660716966,0.145601513179597,23.02375,NA,NA
"796","2006-06-14",6,2006,NA,0.372459666666667,0.264876212023474,0.292920333333333,0.107583454643193,0.0705900431368057,26.0533333333333,NA,NA
"797","2006-06-15",6,2006,NA,0.335862166666667,0.335126630754591,0.270303416666667,0.000735535912075758,0.149575534033971,25.3391666666667,NA,NA
"798","2006-06-16",6,2006,NA,0.3046002,0.298538705360925,0.2678562,0.00606149463907479,0.0942191665907039,25.5,NA,NA
"799","2006-06-17",6,2006,NA,0.2185895,0.25662481889439,0.220287166666667,-0.0380353188943898,0.0704292359285463,21.9666666666667,NA,NA
"800","2006-06-18",6,2006,NA,0.162513928571429,0.290746052373335,0.251204142857143,-0.128232123801907,0.089253048652853,23.4271428571429,NA,NA
"801","2006-06-19",6,2006,NA,0.232874971428571,0.36173060100005,0.320906857142857,-0.128855629571479,0.0770024175616263,25.4928571428571,NA,NA
"802","2006-06-20",6,2006,NA,0.0993333333333333,0.469676330017074,0.422335333333333,-0.37034299668374,0.101505666897395,28.6633333333333,NA,NA
"803","2006-06-21",6,2006,NA,0.671714285714286,0.603708402974179,0.423426642857143,0.0680058827401062,0.103141640164325,26.9557142857143,NA,NA
"804","2006-06-22",6,2006,NA,0.29,0.799127921802393,0.604116,-0.509127921802393,0.131386910184888,26.15,NA,NA
"805","2006-06-23",6,2006,NA,0.0646,1.12109457604115,0.9197466,-1.05649457604115,0.125809651159053,30.232,NA,NA
"806","2006-06-24",6,2006,NA,0.734,1.09584279223646,0.9740117,-0.361842792236457,0.213297003135338,29.029,NA,NA
"807","2006-06-25",6,2006,NA,0.991333333333333,1.38426615507883,1.08403666666667,-0.392932821745499,0.0813225044285411,26.3741666666667,NA,NA
"808","2006-06-26",6,2006,NA,1.4,1.36759076001572,1.1709075,0.0324092399842839,0.281902517444659,23.395,NA,NA
"809","2006-06-27",6,2006,2.73796166816413,2.34891666666667,1.43778030615003,1.47819083333333,0.911136360516632,0.383320799493054,23.585,0.2928804722325,0.00895833333333333
"810","2006-06-28",6,2006,NA,0.892714285714286,2.2831414588166,1.86892714285714,-1.39042717310231,0.204309767522314,25.5571428571429,NA,NA
"811","2006-06-29",6,2006,3.66676976296658,3.908,2.16551535086878,1.83289,1.74248464913122,0.15228336621644,24.355,1.52205278010488,0
"812","2006-07-01",7,2006,NA,0.694,1.80345255489383,2.19871,-1.10945255489383,0.524807898603139,25.36,NA,NA
"813","2006-07-02",7,2006,3.16069501245199,3.367,1.76507162712114,2.14472,1.60192837287886,0.273655779319289,24.78,1.22418,0.0182083333333333
"814","2006-07-03",7,2006,NA,3.044,2.87722903678384,2.69081,0.16677096321616,0.178453913999197,27.98,NA,NA
"815","2006-07-04",7,2006,NA,0.185,2.31755318872603,2.51047,-2.13255318872603,0.211248291507578,26.18,NA,NA
"816","2006-07-06",7,2006,NA,2.212125,2.00773487574726,2.29827125,0.20439012425274,0.412648074503436,23.985,NA,NA
"817","2006-07-07",7,2006,3.33125831379949,3.28472727272727,2.08925844062688,2.28872363636364,1.1954688321004,0.450172631901984,25.0463636363636,0.402678479041713,0.13575
"818","2006-07-08",7,2006,NA,0.748666666666667,1.57065781063223,1.97292333333333,-0.82199114396556,0.330439672676232,24.31,NA,NA
"819","2006-07-09",7,2006,NA,2.046,1.50981188607164,1.95522363636364,0.536188113928357,0.267538591432895,24.9409090909091,NA,NA
"820","2006-07-10",7,2006,NA,1.714,1.59350854578594,2.06165333333333,0.12049145421406,0.248418832552604,27.34,NA,NA
"821","2006-07-11",7,2006,NA,1.2573,1.58109578277259,1.769979,-0.323795782772586,0.236763010849533,25.248,NA,NA
"822","2006-07-12",7,2006,NA,1.7895,1.53472503171838,1.85647,0.25477496828162,0.206463970173595,26.875,NA,NA
"823","2006-07-13",7,2006,NA,2.0348,1.93277942391454,2.076896,0.102020576085456,0.244808355404701,28.92,NA,NA
"824","2006-07-14",7,2006,NA,2.56433333333333,2.54203720163759,2.54211333333333,0.0222961316957435,0.233630704123151,33.4633333333333,NA,NA
"825","2006-07-15",7,2006,NA,1.1432,2.00384654101181,2.149814,-0.860646541011814,0.205075863456388,28.854,NA,NA
"826","2006-07-16",7,2006,3.29599990947832,3.314,1.88420862885757,2.14571,1.42979137114243,0.255078505896973,28.6033333333333,0.664928991547218,0.00258333333333333
"827","2006-07-17",7,2006,NA,1.865,2.44176265979871,1.94333,-0.57676265979871,0.2835387994726,28.84,NA,NA
"828","2006-07-18",7,2006,NA,1.7055,1.51170381241397,1.6022475,0.193796187586033,0.307936266605294,25.975,NA,NA
"829","2006-07-19",7,2006,2.87717345386328,2.36635294117647,1.58645348017032,1.58760117647059,0.779899461006151,0.394192146359467,26.4,0.237813551348501,0.0139583333333333
"830","2006-07-20",7,2006,NA,0.9046,1.58260447320859,1.550108,-0.678004473208594,0.23891857335128,27.1,NA,NA
"831","2006-07-21",7,2006,NA,1.527,1.31367250364717,1.47369733333333,0.21332749635283,0.368390566720698,29.2280666666667,NA,NA
"832","2006-07-22",7,2006,NA,1.30975,1.27904659960327,1.422783,0.0307034003967319,0.240638824938886,30.8455,NA,NA
"833","2006-07-23",7,2006,NA,0.915111111111111,1.12908283190378,1.29182555555556,-0.213971720792664,0.418765685622955,30.2144444444444,NA,NA
"834","2006-07-24",7,2006,NA,1.16413333333333,1.1679428158541,1.36525333333333,-0.00380948252076352,0.353110941900075,28.232,NA,NA
"835","2006-07-25",7,2006,NA,0.959428571428571,1.78937503361417,1.43741,-0.829946462185599,0.225493695422992,27.0128571428571,NA,NA
"836","2006-07-26",7,2006,NA,1.12525,3.20433767328574,1.72021875,-2.07908767328574,0.19228703420661,28.07875,NA,NA
"837","2006-07-27",7,2006,NA,0.9055,2.87483684358575,1.53942,-1.96933684358575,0.663473957819414,25.27,NA,NA
"838","2006-07-28",7,2006,3.33296872634741,4.30366666666667,2.21455778621195,1.70597666666667,2.08910888045472,0.592179081092535,20.89,0.5486956633489,0.22075
